"Patch_ID","Survey_to_Reef_Dist","Species","Life_Stage","Presence","Presence_Category","Abundance","Density","Survey_Area","Long_M","Lat_M","Habitat","Mangrove_Dist","Reef_Dist","Depth","Slope","BPI_Broad","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal","Patch_Area","PA_Ratio","Patch_Neigh_Dist","Area_CRHB","Area_SG","Pred_Density","Object_ID"
7510,0,"LUT GRIS","SUBADULT","1","PRESENCE",5.25,0.0296610169491525,177,286382.445,124758.8034,1,4879.711914,1000.9188232,-5.805088997,2.850901842,209,30.49299812,35.51097488,23.41828728,36.54947662,5372.65341347798,16.4236020600365,3.41961028417426,142904.666641529,634210.737157836,0,401
6112,0,"LUT GRIS","SUBADULT","1","PRESENCE",7,0.0395480225988701,177,283551.3462,125536.2943,1,1789.985229,3744.0559082,-5.211340904,1.186838746,64,30.44894981,35.51097488,23.06860924,36.58605957,11731.1191150815,19.1847562795411,10.4288546022134,17222.6633414505,768174.158446527,0.00282485875706215,415
79,12.4611448403207,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,167736.2532,29792.24883,5,4773.036133,3277.0710449,-9.991229057,0.316441447,64,30.4303093,35.5839119,24.36016464,36.03510284,10701.8951683164,25.575254636945,43.3126544563301,48730.6842088458,269011.639040327,0,42
7387,0,"LUT GRIS","SUBADULT","1","PRESENCE",0.5,0.00282485875706215,177,286864.4668,126271.9311,1,4734.249023,521.1879272,-10.96792698,0.765475094,-81,30.48691177,35.51097488,23.46201897,36.57125473,1479.32550283027,9.70809705480413,70.3295324545653,86451.4257382456,675272.391808413,0.00282485875706215,423
8302,2.14845978551956,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,291389.6041,141172.0639,6,11387.34766,0,-20.40110016,5.798619747,-8,30.34670067,35.55612946,23.79402351,35.82963181,130498.029395384,33.2358855901181,20.9213881599803,439084.641144403,NA,0.00282485875706215,462
4324,0,"LUT GRIS","SUBADULT","1","PRESENCE",11.375,0.0642655367231638,177,273830.7303,100092.7015,1,4839.833496,6196.9550781,-4.190255165,1.186263204,64,30.53881645,35.66057205,23.29850197,36.26662827,1673.50088078316,10.4117833438207,30.5494810962966,28836.8980592038,674800.772379642,0.0346045197740113,231
1616,0,"LUT GRIS","SUBADULT","1","PRESENCE",22.875,0.129237288135593,177,263262.2928,83186.93276,1,3772.457764,4641.4316406,-4.312520504,1.198765755,137,30.32208633,35.57501602,23.38803101,36.38435364,8101.59600519654,22.5904448311626,25.4834258814669,17069.4590652937,758414.120714285,0.0459039548022599,170
5118,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,270801.0115,87509.93178,1,7414.560059,1767.5230713,-9.02889061,2.497328043,-8,30.14216042,35.58554459,23.58694649,36.43637848,5649.85515069728,13.2048522431033,10.4512159724226,164691.144280509,268607.573567475,0.00918079096045198,189
2849,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,282118.9739,110916.1876,1,7179.144043,2100.3552246,-5.435185432,1.244925976,209,30.43593025,35.51132965,23.46596336,36.19556808,1402.05706455834,10.3615712481897,228.660494585745,222487.709659527,458913.763342909,0.00282485875706215,255
445,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,156126.1351,24443.08077,1,7753.031738,1149.3503418,-6.638369083,1.202644467,209,30.38627052,35.54322433,24.52046585,36.08942795,6517.11232750542,20.6422514835132,55.9098146988483,488266.750508268,225597.523071379,0,6
3759,0,"LUT GRIS","SUBADULT","1","PRESENCE",2.5,0.0141242937853107,177,284842.638,116311.606,1,6273.448242,1396.06604,-9.324040413,1.882364869,-8,30.4789753,35.51097488,23.44671631,36.00404739,2486.00230305259,12.692718349494,25.0820413705573,35589.5914654684,724598.497989239,0,314
6040,5.34999999962747,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,285744.4073,123872.8545,3,4453.467285,2009.5688477,-7.57232666,2.061131477,-8,30.49163437,35.51097488,23.35812378,36.55058289,571.855179868792,5.16468975986229,32.8435891695344,108825.693334804,675143.798495653,0.00282485875706215,390
180,4.60635588051348,"LUT GRIS","SUBADULT","1","PRESENCE",1.5,0.00847457627118644,177,153598.776,26363.02496,4,4787.142578,3588.994873,-9.157219887,0.105981529,64,30.4043293,35.51097488,24.53722763,36.02125168,2755.1234578628,10.2970179378841,40.1399955174437,88372.0843901965,697023.772721346,0.00282485875706215,21
5307,0,"LUT GRIS","SUBADULT","1","PRESENCE",6.482,0.0366214689265537,177,282981.6648,117634.9398,1,3859.61499,3718.7719727,-8.15575695,0.773371339,-8,30.48397446,35.51097488,23.22854424,36.21304703,3169.1207034971,9.1529047597175,30.4797362726502,47427.075752735,600781.958420272,0,330
6395,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,288620.3677,129312.3429,1,6006.213379,255,-10.81536484,0.804612219,-81,30.46844101,35.51111603,23.60031128,36.33090591,1291.22084664832,6.04859008750561,12.9338857400597,85925.6275791441,149321.873240365,0.0169491525423729,441
1080,0,"LUT GRIS","SUBADULT","1","PRESENCE",33,0.186440677966102,177,202468.1142,39814.45093,1,5237.239258,1143.0865479,-7.523027897,0.36449939,64,30.50498581,35.83589554,23.73609352,36.03541565,43927.5177936708,53.1477222645344,365.713429679279,46880.2864094019,665851.601544993,0.00282485875706215,86
6709,2.09403266313544,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286803.0869,131082.9862,3,3975,1795.5992432,-6.780079365,0.720532,64,30.43424606,35.54882431,23.3324337,36.56082153,799.677153249732,5.69623232387328,2.95190000068396,93408.1431864432,688654.044910306,0,444
1297,0,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,245467.9688,66490.51716,1,3335.264893,960.5634766,-5.916165829,0.106295548,-8,30.62111092,35.72276688,24.09418678,36.3277626,8408.05567790176,19.9588109445495,9.77998155722085,110136.685557176,601736.690579064,0.0310734463276836,121
4036,12.9683445923309,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286144.0485,115979.7696,5,7710.138672,162.7817535,-14.33184433,1.147896171,-227,30.47533989,35.51097488,23.56792068,35.82678986,192.954327683905,3.7367206935502,16.0211199778569,197305.866149958,432130.346712948,0.00282485875706215,311
